Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,March,4 Western,Loddon,366,"4,779.9"
2020,March,4 Western,Macedon Ranges,"1,724","3,387.4"
2020,March,4 Western,Mildura,"5,543","9,667.7"
2020,March,4 Western,Moorabool,"1,640","4,439.2"
2020,March,4 Western,Mount Alexander,894,"4,483.7"
2020,March,4 Western,Moyne,506,"2,960.6"
2020,March,4 Western,Northern Grampians,735,"6,226.2"
2020,March,4 Western,Pyrenees,350,"4,639.4"
2020,March,4 Western,Queenscliffe,101,"3,263.3"
2020,March,4 Western,Southern Grampians,887,"5,373.8"
2020,March,4 Western,Surf Coast,"1,043","2,911.2"
2020,March,4 Western,Swan Hill,"1,770","8,232.9"
2020,March,4 Western,Warrnambool,"2,467","6,965.4"
2020,March,4 Western,West Wimmera,143,"3,580.4"
2020,March,4 Western,Yarriambiack,316,"4,758.3"
2020,March,4 Western,Total,"63,738","6,156.1"
2020,March,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"1,377",
2020,March,Justice Institutions and Immigration Facilities,Total,"1,377",
2020,March,Unincorporated Vic,Unincorporated Vic,109,
2020,March,Unincorporated Vic,Total,109,
2019,March,1 North West Metro,Banyule,"7,006","5,364.2"
2019,March,1 North West Metro,Brimbank,"14,660","7,090.0"
2019,March,1 North West Metro,Darebin,"11,244","7,148.2"
2019,March,1 North West Metro,Hobsons Bay,"4,846","5,057.5"
2019,March,1 North West Metro,Hume,"15,592","6,624.5"
2019,March,1 North West Metro,Maribyrnong,"6,669","7,454.7"
2019,March,1 North West Metro,Melbourne,"26,584","15,734.6"
2019,March,1 North West Metro,Melton,"8,329","5,031.6"
2019,March,1 North West Metro,Merri-bek,"11,406","6,360.4"
2019,March,1 North West Metro,Moonee Valley,"6,485","5,130.3"
2019,March,1 North West Metro,Nillumbik,"1,623","2,517.7"
2019,March,1 North West Metro,Whittlesea,"11,910","5,268.2"
2019,March,1 North West Metro,Wyndham,"11,462","4,195.4"
2019,March,1 North West Metro,Yarra,"11,181","11,581.2"
2019,March,1 North West Metro,Total,"148,997","6,724.2"
2019,March,2 Eastern,Alpine,399,"3,092.1"
2019,March,2 Eastern,Bass Coast,"1,782","4,759.6"
2019,March,2 Eastern,Baw Baw,"3,179","5,881.9"
2019,March,2 Eastern,Benalla,877,"6,160.0"
2019,March,2 Eastern,Boroondara,"5,570","3,100.2"
2019,March,2 Eastern,East Gippsland,"3,193","6,727.2"
2019,March,2 Eastern,Greater Shepparton,"6,228","9,194.9"
2019,March,2 Eastern,Indigo,371,"2,198.4"
2019,March,2 Eastern,Knox,"8,087","4,952.0"
2019,March,2 Eastern,Latrobe,"9,941","13,059.5"
2019,March,2 Eastern,Manningham,"3,410","2,687.7"
2019,March,2 Eastern,Mansfield,321,"3,408.7"
2019,March,2 Eastern,Maroondah,"6,035","5,115.9"
2019,March,2 Eastern,Mitchell,"3,033","6,540.4"
2019,March,2 Eastern,Moira,"1,682","5,588.2"
2019,March,2 Eastern,Monash,"8,028","4,018.8"
2019,March,2 Eastern,Murrindindi,592,"4,017.1"
